gene,mean_A,mean_C,log2FC,pvalue,padj,mean_expr,status
fliF,340.56,575.96,0.7572,5.781208548519467e-07,0.0019381849094073768,8.8416,Up in C
cheW,858.45,1326.95,0.628,9.347089584563753e-07,0.0019381849094073768,10.0943,Up in C
tsr,1357.11,1933.63,0.5106,1.370387633330693e-06,0.0019381849094073768,10.6846,Up in C
fliH,194.76,328.22,0.7514,2.4061635024743388e-06,0.0025523379352496546,8.0334,Up in C
fliL,191.21,307.81,0.6854,3.5873450532708818e-06,0.0030442210122056702,7.9658,Up in C
fliG,294.72,504.15,0.7735,5.446560711968237e-06,0.0038516261834802053,8.6436,Up in C
fliI,151.58,252.76,0.7358,8.542585525082127e-06,0.005178027197560495,7.663,Up in C
motB,824.74,1241.82,0.5902,2.0223835523728803e-05,0.010726216765897663,10.0137,Up in C
yhbJ,1669.67,1434.48,-0.219,2.9491414114428166e-05,0.013084008840950123,10.6004,NS
intB,102.82,134.65,0.3876,3.083669300247495e-05,0.013084008840950123,6.8977,NS
fliA,1203.99,2064.23,0.7775,6.611138440994995e-05,0.02550096400467433,10.6747,Up in C
flhB,133.18,221.93,0.7346,0.00010205274448699612,0.03283568663365667,7.4761,Up in C
alkA,53.89,74.97,0.4727,0.0001072899038630721,0.03283568663365667,6.0208,NS
yhjH,725.43,1072.35,0.5635,0.00010834306218976983,0.03283568663365667,9.8128,Up in C
flgN,610.98,938.25,0.6184,0.00015633643900558205,0.04422236738004564,9.5983,Up in C
tar,2970.04,4227.01,0.5091,0.00021203701126758362,0.05402591473036698,11.8134,Up in C
flgL,1575.45,2456.37,0.6406,0.0002164601815734713,0.05402591473036698,10.9776,Up in C
ybcL,19.59,30.91,0.6447,0.00026502422223972124,0.060821046095399595,4.6865,Up in C
cheA,1925.43,2678.61,0.4762,0.000272354436910816,0.060821046095399595,11.169,NS
tap,1698.29,2276.25,0.4225,0.00030064577439725074,0.06378200103837675,10.9569,NS
ydjR,180.95,281.75,0.6374,0.000329685948532562,0.06661226093446003,7.8571,Up in C
rplQ,4533.95,3703.63,-0.2918,0.00036037074578667064,0.06685630703479005,12.0082,NS
tfaR,0.13,2.12,2.0604,0.00036240750926235475,0.06685630703479005,0.699,Up in C
rbfA,532.22,438.33,-0.2797,0.0004617386674167823,0.08097019403040019,8.9242,NS
cheR,268.59,354.43,0.3995,0.00048604873686593984,0.08097019403040019,8.2854,NS
flgM,644.53,983.1,0.6087,0.000526935837052463,0.08097019403040019,9.6694,Up in C
fliK,113.9,174.92,0.6166,0.0005375770690410612,0.08097019403040019,7.179,Up in C
fliZ,499.97,891.88,0.8344,0.0005525884310433157,0.08097019403040019,9.4438,Up in C
atpH,3974.48,2973.76,-0.4184,0.0005694668909884046,0.08097019403040019,11.7626,NS
yegP,528.69,668.14,0.3374,0.0005724972474456766,0.08097019403040019,9.2262,NS
fliT,343.25,496.5,0.5319,0.000655313690894313,0.08193913361177774,8.7155,Up in C
flhA,191.09,262.14,0.4551,0.0006648388564202991,0.08193913361177774,7.8273,NS
rpmJ,3007.94,2294.89,-0.3903,0.0006656992450722279,0.08193913361177774,11.3728,NS
flgI,227.48,394.61,0.7933,0.0006717167587275216,0.08193913361177774,8.2833,Up in C
flgK,1504.92,2376.12,0.6588,0.0006759061221805846,0.08193913361177774,10.9226,Up in C
secY,21032.57,15824.54,-0.4105,0.0007155827426093555,0.08433937713587486,14.1697,NS
truB,754.65,605.25,-0.318,0.0007950326543246652,0.08930889026519821,9.4103,NS
rpoC,23847.88,17826.38,-0.4198,0.0007998439382695103,0.08930889026519821,14.3469,NS
moeB,330.68,263.72,-0.3259,0.0009063225047514859,0.09860324070924499,8.2177,NS
fliM,254.24,377.94,0.571,0.0009573006615584052,0.09902304598299994,8.3065,Up in C
motA,1008.74,1498.0,0.5702,0.0009770212260421095,0.09902304598299994,10.2922,Up in C
yjdA,304.72,529.12,0.7951,0.0009801951287499405,0.09902304598299994,8.7054,Up in C
torR,165.56,142.19,-0.2188,0.0010653487715864285,0.10512267064747013,7.2703,NS
rpsK,7274.18,5518.79,-0.3984,0.001127166582456497,0.10869472294006631,12.6432,NS
flxA,278.69,526.51,0.9166,0.0012870897961913734,0.11922553718943131,8.655,Up in C
fimF,46.94,68.0,0.5298,0.0012925700473046997,0.11922553718943131,5.8573,Up in C
rpoA,19399.96,15534.38,-0.3206,0.0014292213688479277,0.12902523974514377,14.0924,NS
rpoB,21843.13,15547.38,-0.4905,0.0014738264093871094,0.130280113646448,14.1904,NS
flgB,668.86,1180.63,0.8193,0.0015603079345525995,0.13510992992462612,9.8537,Up in C
cheZ,506.71,677.65,0.419,0.0015991680935689302,0.1357054044202594,9.2111,NS
fliC,29109.96,39965.07,0.4572,0.0017779966864765366,0.14792235177882246,15.0759,NS
flgJ,192.07,323.99,0.7528,0.0020234537535558563,0.15683015730547398,8.0142,Up in C
fliS,535.35,728.31,0.4437,0.0020283300821096624,0.15683015730547398,9.3045,NS
yoaC,85.78,121.63,0.5013,0.0020327093380320075,0.15683015730547398,6.7033,Up in C
mraZ,437.68,515.7,0.2364,0.002040293156708067,0.15683015730547398,8.8984,NS
fliD,1884.08,2753.03,0.547,0.0021052933658445784,0.15683015730547398,11.1793,Up in C
ilvY,143.64,103.03,-0.4774,0.0021068392567551303,0.15683015730547398,6.9522,NS
glpQ,122.62,151.65,0.3055,0.0021895967663980004,0.1601803289625296,7.1047,NS
fliJ,42.84,80.86,0.9084,0.002249868553275025,0.16179986900925308,5.9623,Up in C
galT,219.31,173.87,-0.3341,0.002394311043400848,0.16931769595249663,7.6227,NS
rpsL,8230.67,5965.29,-0.4644,0.002443170199713075,0.16994051077676356,12.7933,NS
hcaE,100.38,122.98,0.2917,0.0025111955302880755,0.17185488120987585,6.8097,NS
hdhA,1824.71,2180.43,0.2569,0.0026435254600054537,0.17803934169528793,10.968,NS
deoB,2238.89,1823.04,-0.2964,0.002690391722188448,0.17836456370696224,10.9883,NS
atpA,14741.6,11120.8,-0.4066,0.002766940423289267,0.18061735716948246,13.6586,NS
rplD,7958.17,5460.34,-0.5434,0.0028793769163290134,0.18510903418157582,12.712,Up in A
ynjH,67.03,108.7,0.6933,0.0031440559282728555,0.19388480557328513,6.4655,Up in C
rpsE,8205.63,5813.77,-0.4971,0.0031857834651327042,0.19388480557328513,12.7752,NS
fimD,311.8,424.87,0.4458,0.003194951374463648,0.19388480557328513,8.5268,NS
yjiZ,168.97,227.55,0.4284,0.0032542306760106714,0.19388480557328513,7.6349,NS
sspB,1172.36,1017.47,-0.2043,0.003267120937096015,0.19388480557328513,10.0973,NS
msyB,440.19,517.25,0.2325,0.0032900556213237165,0.19388480557328513,8.9045,NS
flgA,249.64,370.04,0.5669,0.0034039966601014486,0.19785147710699244,8.2777,Up in C
rplB,12286.37,8472.34,-0.5362,0.003510330609424273,0.20127476724036744,13.3415,Up in A
flgD,1248.09,2027.48,0.6997,0.0036616246974467493,0.20187728972345875,10.678,Up in C
deaD,3101.08,2320.03,-0.4185,0.003683818750686084,0.20187728972345875,11.4046,NS
rplA,12186.49,9480.2,-0.3623,0.0037432699291048152,0.20187728972345875,13.4033,NS
alaW,43.77,13.97,-1.6131,0.0037948452631124535,0.20187728972345875,4.8765,Up in A
flgH,279.15,440.79,0.6581,0.0038017089161800424,0.20187728972345875,8.4937,Up in C
ydfT,28.93,42.88,0.56,0.003930278777585297,0.20187728972345875,5.186,Up in C
eda,1866.18,1557.52,-0.2608,0.003952518014307601,0.20187728972345875,10.7418,NS
valY,178.12,93.74,-0.9225,0.0039659997996159616,0.20187728972345875,7.092,Up in A
ssrS,2429.6,1233.43,-0.9778,0.0039848110037207195,0.20187728972345875,10.8392,Up in A
ycgN,189.17,231.95,0.2934,0.003996627937018745,0.20187728972345875,7.7215,NS
dnaQ,544.06,489.61,-0.152,0.004094264159179335,0.20192664778030797,9.015,NS
cheB,236.01,341.04,0.5302,0.0041774547704271905,0.20192664778030797,8.1751,Up in C
yecR,29.04,44.38,0.6035,0.0041823420120500636,0.20192664778030797,5.2175,Up in C
fimA,5636.42,7201.49,0.3535,0.004220530996532188,0.20192664778030797,12.6482,NS
glyS,5430.54,4424.31,-0.2956,0.00423555777809272,0.20192664778030797,12.2668,NS
ychN,373.81,471.67,0.3351,0.004313028912142292,0.20333535193577496,8.7253,NS
rfaF,858.47,680.27,-0.3354,0.004406102288771131,0.20544057155226272,9.5885,NS
yahO,164.14,244.44,0.5731,0.00454615402141096,0.20966664687876851,7.678,Up in C
fliE,40.01,70.93,0.8183,0.004669627074801083,0.21304545890732252,5.8065,Up in C
sspA,2427.84,1967.5,-0.3032,0.004759644082697536,0.21387033470686456,11.1021,NS
recX,74.9,55.95,-0.4176,0.004788517981888318,0.21387033470686456,6.0427,NS
yghW,119.45,6.69,-4.0601,0.004859039283988356,0.21475941335377702,5.9903,Up in A
rplO,8698.93,6405.93,-0.4414,0.0053158323480112955,0.23252656342898895,12.8828,NS
cpdA,888.93,790.54,-0.1691,0.005380224386891959,0.2329417558528835,9.7146,NS
ygeA,106.66,138.79,0.3782,0.00556160240594564,0.23539616657291756,6.9451,NS
ihfB,2196.66,2641.92,0.2662,0.0055997909107486695,0.23539616657291756,11.2407,NS
sraB,202.53,296.78,0.5501,0.005618209978138482,0.23539616657291756,7.9667,Up in C
valS,5064.31,4276.35,-0.244,0.0056917471171286154,0.23539616657291756,12.1895,NS
ubiH,932.17,789.5,-0.2395,0.005783944061481413,0.23539616657291756,9.7504,NS
amiB,472.08,428.62,-0.1392,0.005877416461054088,0.23539616657291756,8.8165,NS
cheY,310.31,480.68,0.6305,0.005915851270457281,0.23539616657291756,8.6293,Up in C
yohN,144.87,195.72,0.4328,0.005991250851133551,0.23539616657291756,7.4161,NS
amyA,583.85,703.66,0.2691,0.006009411844790046,0.23539616657291756,9.3315,NS
kdsB,803.74,662.08,-0.2795,0.006011455175216718,0.23539616657291756,9.5185,NS
yhjG,398.91,509.67,0.3531,0.006047179391102525,0.23539616657291756,8.8291,NS
ydeI,96.43,126.06,0.3847,0.006166888013693213,0.23787368947363913,6.8041,NS
yfaH,6.97,11.39,0.6713,0.00626664834075856,0.2395440442327799,3.2748,Up in C
deoD,1579.26,1329.69,-0.2481,0.006518758914175111,0.24290848725144779,10.5068,NS
nusB,943.88,821.99,-0.1994,0.0066058342254737955,0.24290848725144779,9.787,NS
yaiY,41.22,50.65,0.2938,0.006622801222459776,0.24290848725144779,5.5371,NS
uhpT,113.73,155.13,0.4462,0.006668329627314076,0.24290848725144779,7.0761,NS
prsA,4176.72,3308.46,-0.3362,0.006720953865563077,0.24290848725144779,11.87,NS
yaiE,123.33,165.88,0.4262,0.006727910613742901,0.24290848725144779,7.181,NS
rpsG,11896.96,8583.38,-0.471,0.0067554092612940935,0.24290848725144779,13.322,NS
rplJ,12749.32,10684.0,-0.255,0.006870730519861843,0.24497907223339327,13.5163,NS
nudG,72.75,105.24,0.5297,0.0070171388212436235,0.2481143334878058,6.4837,Up in C
flgE,1931.03,2958.31,0.6153,0.007597009613244326,0.2650114004341618,11.2557,Up in C
rpsC,10348.52,7740.48,-0.4189,0.007764807539959715,0.2650114004341618,13.1429,NS
flgC,678.95,1094.74,0.6888,0.007776520588018825,0.2650114004341618,9.7933,Up in C
rplE,15667.96,11538.89,-0.4413,0.007900434023180504,0.2650114004341618,13.7317,NS
rplT,9619.45,7485.74,-0.3618,0.007910550314211593,0.2650114004341618,13.0622,NS
yfgL,2020.25,1817.4,-0.1526,0.007912237934950371,0.2650114004341618,10.9064,NS
